    y       x
 11.50   3.91
  8.20   4.09
  0.50   4.09
 14.10   4.25
 17.20   4.25
 33.50   4.38
 28.80   4.38
 15.60   4.50
 24.40   4.50
 33.50   4.50
 38.80   4.55
 47.70   4.61
 58.00   4.61
 36.10   4.61
 47.70   4.65
 65.50   4.65
 58.00   4.70
 47.70   4.70
 33.50   4.70
 69.50   4.74
 69.50   4.74
 47.70   4.74
 87.20   4.79
 51.00   4.79
 33.50   4.79
 47.70   4.83
 92.00   4.87
 87.20   4.87
 58.00   4.91
 47.70   4.91
 73.20   4.94
 58.00   4.94
 47.70   4.98
118.90   5.01
 58.00   5.01
143.90   5.04
 87.20   5.04
143.90   5.08
 73.20   5.08
 73.70   5.08
 97.00   5.11
112.30   5.14
113.20   5.19

